475 13289
25 247 0.0143893162
25 278 0.0555966531
25 286 0.0143893162
25 327 0.0143893162
25 387 0.0225792574
25 393 0.0143893162
25 401 0.0723615676
25 403 0.0225792574
25 448 0.0143893162
25 450 0.0143893162
25 452 0.0354306525
30 3 0.0167271433
30 4 0.0167271433
30 11 0.0167271433
30 17 0.0167271433
30 21 0.0167271433
30 32 0.0167271433
30 47 0.0167271433
30 70 0.0167271433
30 72 0.0262477013
30 88 0.0167271433
30 89 0.0167271433
30 111 0.0167271433
30 136 0.0262477013
30 138 0.0167271433
30 147 0.0167271433
30 160 0.0167271433
30 161 0.0167271433
30 190 0.0167271433
30 193 0.0167271433
30 234 0.0167271433
30 246 0.0167271433
30 260 0.0167271433
30 306 0.0262477013
30 335 0.0167271433
30 389 0.0167271433
30 415 0.0167271433
30 422 0.0167271433
30 428 0.0167271433
30 470 0.0341625746
46 0 0.0508937981
46 4 0.0249193119
46 9 0.0249193119
46 11 0.0249193119
46 12 0.0391025918
46 17 0.0613585434
46 18 0.0249193119
46 20 0.0249193119
46 24 0.0391025918
46 25 0.0249193119
46 26 0.0508937981
46 28 0.0249193119
46 30 0.0249193119
46 32 0.0249193119
46 36 0.0391025918
46 38 0.0249193119
46 50 0.0249193119
46 54 0.0249193119
46 64 0.0249193119
46 70 0.0391025918
46 76 0.1184244270
46 77 0.0249193119
46 80 0.0508937981
46 87 0.0249193119
46 89 0.0391025918
46 130 0.0391025918
46 136 0.0249193119
46 139 0.0508937981
46 201 0.0249193119
46 207 0.0249193119
46 251 0.0249193119
46 268 0.0391025918
46 286 0.0249193119
46 325 0.0249193119
46 349 0.0249193119
46 358 0.0391025918
46 367 0.0249193119
46 371 0.0391025918
46 423 0.0249193119
46 448 0.0249193119
46 460 0.0249193119
55 4 0.0132978377
55 5 0.0208665440
55 9 0.0208665440
55 13 0.0208665440
55 14 0.0132978377
55 18 0.0132978377
55 25 0.0132978377
55 27 0.0132978377
55 53 0.0327431172
55 59 0.0208665440
55 61 0.0132978377
55 68 0.0271587542
55 79 0.0132978377
55 88 0.0704440323
55 90 0.0593992592
55 92 0.0208665440
55 111 0.0208665440
55 119 0.0870378505
55 122 0.0327431172
55 135 0.0132978377
55 155 0.0271587542
55 165 0.0208665440
55 177 0.0327431172
55 179 0.0132978377
55 213 0.0132978377
55 256 0.0132978377
55 401 0.0132978377
55 424 0.0208665440
55 465 0.0132978377
55 467 0.0132978377
58 0 0.0133316227
58 4 0.0427249267
58 6 0.0706230049
58 15 0.0272277547
58 25 0.0133316227
58 30 0.0209195583
58 35 0.0379501517
58 46 0.0133316227
58 54 0.0133316227
58 55 0.0379501517
58 59 0.0133316227
58 60 0.0133316227
58 64 0.0133316227
58 74 0.0427249267
58 76 0.0133316227
58 81 0.0379501517
58 82 0.0133316227
58 84 0.0209195583
58 92 0.0133316227
58 111 0.0209195583
58 138 0.0133316227
58 147 0.0209195583
58 148 0.0209195583
58 149 0.0209195583
58 165 0.0133316227
58 183 0.0133316227
58 193 0.0133316227
58 197 0.0133316227
58 213 0.0133316227
58 243 0.0515099947
58 250 0.0427249267
58 268 0.0133316227
58 367 0.0133316227
58 375 0.0133316227
58 381 0.0133316227
58 411 0.0133316227
58 416 0.0133316227
58 437 0.0133316227
58 439 0.0133316227
58 447 0.0209195583
58 460 0.0133316227
59 0 0.0208313901
59 4 0.0208313901
59 8 0.0132754348
59 10 0.0132754348
59 13 0.0132754348
59 14 0.0592991891
59 18 0.0132754348
59 24 0.0208313901
59 25 0.0377902058
59 27 0.0132754348
59 36 0.0132754348
59 37 0.0208313901
59 54 0.0271129998
59 55 0.0132754348
59 58 0.0132754348
59 60 0.0132754348
59 61 0.0208313901
59 71 0.0208313901
59 74 0.0208313901
59 76 0.0132754348
59 77 0.0132754348
59 79 0.0132754348
59 86 0.0132754348
59 87 0.0326879548
59 88 0.0377902058
59 92 0.0132754348
59 110 0.0208313901
59 119 0.0132754348
59 179 0.0132754348
59 180 0.0132754348
59 215 0.0132754348
59 262 0.0132754348
59 263 0.0592991891
59 281 0.0132754348
59 292 0.0208313901
59 351 0.0132754348
59 368 0.0132754348
59 374 0.0132754348
59 376 0.0132754348
59 405 0.0208313901
59 416 0.0470286466
59 433 0.0271129998
74 0 0.0140435978
74 11 0.0140435978
74 12 0.0220367670
74 14 0.0140435978
74 17 0.0345793939
74 18 0.0140435978
74 24 0.0140435978
74 25 0.0140435978
74 26 0.0140435978
74 27 0.0220367670
74 28 0.0140435978
74 33 0.0220367670
74 37 0.0140435978
74 48 0.0140435978
74 58 0.0542608851
74 59 0.0220367670
74 64 0.0542608851
74 65 0.0140435978
74 68 0.0220367670
74 72 0.0220367670
74 77 0.0140435978
74 79 0.0140435978
74 81 0.0851444552
74 85 0.0220367670
74 86 0.0140435978
74 89 0.0286818525
74 91 0.0140435978
74 229 0.0140435978
74 287 0.0399768790
74 329 0.0140435978
74 364 0.0585781988
74 439 0.0140435978
76 0 0.0487050968
76 2 0.0310387994
76 9 0.0310387994
76 12 0.0487050968
76 21 0.0310387994
76 23 0.0310387994
76 26 0.0633918943
76 27 0.0310387994
76 35 0.0310387994
76 46 0.1804530523
76 50 0.0310387994
76 55 0.0633918943
76 59 0.0310387994
76 66 0.0487050968
76 68 0.0487050968
76 77 0.0487050968
76 85 0.0310387994
76 87 0.0633918943
76 117 0.0310387994
76 136 0.0310387994
76 137 0.0310387994
76 147 0.0764264889
76 148 0.0633918943
76 155 0.0310387994
76 201 0.0310387994
76 263 0.0310387994
76 266 0.0310387994
76 299 0.0310387994
76 315 0.0310387994
76 325 0.0310387994
76 336 0.0310387994
76 358 0.0764264889
76 400 0.0310387994
76 444 0.0310387994
76 450 0.0487050968
76 466 0.0310387994
77 0 0.0180553412
77 4 0.0180553412
77 5 0.0578634086
77 7 0.0513968145
77 10 0.0180553412
77 24 0.0180553412
77 25 0.0513968145
77 27 0.0180553412
77 36 0.0368752112
77 37 0.0283318672
77 42 0.0180553412
77 46 0.0180553412
77 51 0.0180553412
77 54 0.0180553412
77 59 0.0180553412
77 63 0.0753118527
77 80 0.0180553412
77 85 0.0180553412
77 87 0.0180553412
77 88 0.0283318672
77 188 0.0180553412
77 243 0.0180553412
77 254 0.0283318672
77 280 0.0180553412
77 296 0.0283318672
77 315 0.0180553412
77 367 0.0180553412
77 375 0.0180553412
77 401 0.0180553412
77 431 0.0283318672
77 443 0.0283318672
85 0 0.0159871778
85 2 0.0326513107
85 9 0.0159871778
85 12 0.0159871778
85 17 0.0326513107
85 36 0.0250865709
85 42 0.0566350815
85 43 0.0159871778
85 51 0.0159871778
85 53 0.0159871778
85 54 0.0159871778
85 63 0.0159871778
85 65 0.0159871778
85 72 0.0250865709
85 73 0.0159871778
85 74 0.0159871778
85 77 0.0250865709
85 79 0.0455095255
85 87 0.0512353983
85 91 0.0159871778
85 111 0.0326513107
85 117 0.0159871778
85 165 0.0250865709
85 214 0.0159871778
85 311 0.0666851965
85 326 0.0159871778
85 408 0.0455095255
85 421 0.0393650492
86 0 0.0296284802
86 2 0.0296284802
86 4 0.0188816472
86 17 0.0188816472
86 24 0.0296284802
86 36 0.0296284802
86 37 0.0188816472
86 46 0.0385628119
86 54 0.0537489991
86 55 0.0296284802
86 59 0.0537489991
86 60 0.0464920689
86 61 0.0188816472
86 71 0.0296284802
86 73 0.0188816472
86 74 0.0188816472
86 77 0.0188816472
86 79 0.0188816472
86 85 0.0188816472
86 87 0.0296284802
86 121 0.0464920689
86 139 0.0188816472
86 143 0.0296284802
86 160 0.0385628119
86 161 0.0296284802
86 169 0.0188816472
86 179 0.0188816472
86 229 0.0188816472
86 246 0.0296284802
86 259 0.0188816472
86 393 0.0188816472
86 410 0.0188816472
86 467 0.0188816472
87 0 0.0269656389
87 2 0.0171846708
87 4 0.0171846708
87 9 0.0269656389
87 10 0.0171846708
87 14 0.0171846708
87 24 0.0171846708
87 25 0.0269656389
87 33 0.0171846708
87 46 0.0171846708
87 50 0.0171846708
87 53 0.0423136229
87 54 0.0269656389
87 55 0.0350970030
87 58 0.0171846708
87 59 0.0350970030
87 61 0.0171846708
87 65 0.0171846708
87 70 0.0171846708
87 71 0.0423136229
87 76 0.0269656389
87 77 0.0171846708
87 79 0.0269656389
87 82 0.0171846708
87 84 0.0171846708
87 85 0.0350970030
87 88 0.0716801406
87 90 0.0171846708
87 92 0.0171846708
87 96 0.0171846708
87 105 0.0171846708
87 111 0.0171846708
87 122 0.0171846708
87 135 0.0423136229
87 147 0.0269656389
87 149 0.0269656389
87 154 0.0171846708
87 155 0.0171846708
87 156 0.0269656389
87 157 0.0171846708
87 171 0.0171846708
87 174 0.0171846708
87 179 0.0350970030
87 215 0.0269656389
87 222 0.0171846708
87 262 0.0171846708
87 263 0.1083759747
87 270 0.0269656389
87 279 0.0816669738
87 286 0.0269656389
87 303 0.0269656389
87 315 0.0269656389
87 318 0.0171846708
87 327 0.0350970030
87 341 0.0171846708
87 358 0.0171846708
87 365 0.0350970030
87 374 0.0171846708
87 375 0.0550731009
87 376 0.0955266264
87 401 0.0350970030
87 411 0.0269656389
87 424 0.0171846708
87 433 0.0171846708
87 438 0.0171846708
87 442 0.0171846708
87 444 0.0171846708
87 447 0.0171846708
87 450 0.0171846708
87 461 0.0171846708
87 463 0.0171846708
154 63 0.0343277651
154 87 0.0538660372
154 111 0.0701090925
154 117 0.0343277651
154 119 0.0977183292
154 121 0.0701090925
154 122 0.0538660372
154 142 0.0343277651
154 147 0.1326337416
154 149 0.0845248725
154 155 0.0538660372
154 156 0.0845248725
154 160 0.0343277651
154 171 0.0343277651
154 176 0.0343277651
154 193 0.0343277651
154 194 0.0343277651
154 200 0.0343277651
154 215 0.0343277651
154 222 0.0538660372
154 254 0.0343277651
154 263 0.0343277651
154 278 0.0343277651
154 286 0.0343277651
154 292 0.0343277651
154 298 0.0343277651
154 305 0.0977183292
154 321 0.0343277651
154 332 0.0343277651
154 341 0.0343277651
154 347 0.0343277651
154 367 0.0538660372
154 375 0.0343277651
154 376 0.0343277651
154 377 0.0343277651
154 401 0.0538660372
154 416 0.0343277651
154 443 0.0538660372
154 445 0.0343277651
154 455 0.0538660372
154 460 0.0343277651
154 469 0.0343277651
168 58 0.0245398094
168 89 0.0245398094
168 119 0.0245398094
168 126 0.0245398094
168 211 0.0245398094
168 213 0.0245398094
168 243 0.0245398094
168 254 0.0245398094
168 293 0.0245398094
168 365 0.0245398094
168 372 0.0245398094
168 471 0.0501187234
341 0 0.0702366796
341 12 0.0219162204
341 56 0.0219162204
341 92 0.0539640646
341 109 0.0219162204
341 111 0.0447604532
341 128 0.0219162204
341 135 0.0219162204
341 142 0.0219162204
341 147 0.0343902360
341 154 0.0343902360
341 155 0.0343902360
341 179 0.0219162204
341 205 0.0219162204
341 207 0.0219162204
341 247 0.0219162204
341 250 0.0219162204
341 254 0.0343902360
341 263 0.0219162204
341 267 0.0219162204
341 275 0.0343902360
341 296 0.0219162204
341 298 0.0343902360
341 315 0.0219162204
341 325 0.0343902360
341 326 0.0219162204
341 352 0.0219162204
341 358 0.0219162204
341 367 0.0219162204
341 372 0.0219162204
341 374 0.0539640646
341 376 0.0343902360
341 393 0.0219162204
341 400 0.0219162204
341 416 0.0219162204
341 419 0.0219162204
341 423 0.0343902360
341 429 0.0219162204
341 454 0.0219162204
341 461 0.0978961606
374 0 0.0455095255
374 92 0.0222829913
374 99 0.0222829913
374 111 0.0222829913
374 119 0.0222829913
374 177 0.0349657613
374 183 0.0548671606
374 205 0.0222829913
374 211 0.0222829913
374 215 0.0714121000
374 236 0.0548671606
374 263 0.0634313558
374 278 0.0222829913
374 298 0.0548671606
374 300 0.0222829913
374 303 0.0349657613
374 327 0.0349657613
374 341 0.0455095255
374 352 0.0222829913
374 353 0.0789381997
374 371 0.0222829913
374 400 0.0222829913
374 401 0.0789381997
374 440 0.0222829913
374 461 0.0548671606
401 4 0.0196886817
401 25 0.0196886817
401 55 0.0125472092
401 87 0.0196886817
401 92 0.0125472092
401 109 0.0196886817
401 127 0.0125472092
401 139 0.0256257129
401 147 0.0256257129
401 149 0.0125472092
401 153 0.0125472092
401 179 0.0196886817
401 205 0.0308948531
401 215 0.0596282942
401 217 0.0125472092
401 236 0.0125472092
401 254 0.0125472092
401 263 0.0256257129
401 293 0.0125472092
401 296 0.0125472092
401 303 0.0125472092
401 346 0.0125472092
401 352 0.0125472092
401 374 0.0125472092
401 375 0.0125472092
401 376 0.0256257129
401 393 0.0125472092
401 431 0.0125472092
401 442 0.0125472092
401 464 0.0125472092
401 466 0.0125472092
1 11 0.0371518955
1 15 0.0236761716
1 17 0.0236761716
1 20 0.0236761716
1 21 0.0371518955
1 30 0.0236761716
1 39 0.0236761716
1 51 0.0582975729
1 52 0.0236761716
1 66 0.0838735848
1 72 0.0236761716
1 80 0.0236761716
1 89 0.0236761716
1 142 0.0236761716
1 190 0.0236761716
1 192 0.0236761716
1 426 0.0236761716
1 428 0.0236761716
1 459 0.0236761716
11 0 0.0279554526
11 1 0.0279554526
11 5 0.0178154596
11 7 0.0279554526
11 13 0.0279554526
11 17 0.0178154596
11 20 0.0178154596
11 24 0.0178154596
11 26 0.0279554526
11 35 0.0178154596
11 40 0.0178154596
11 51 0.0178154596
11 52 0.0363852904
11 65 0.0178154596
11 68 0.0438668071
11 72 0.0178154596
11 74 0.0279554526
11 75 0.0178154596
11 89 0.0279554526
11 329 0.0795787348
11 336 0.0279554526
11 439 0.0178154596
15 3 0.0139922644
15 8 0.0219562163
15 9 0.0285770122
15 13 0.0219562163
15 17 0.0219562163
15 20 0.0139922644
15 22 0.0139922644
15 23 0.0139922644
15 24 0.0139922644
15 25 0.0139922644
15 28 0.0139922644
15 32 0.0219562163
15 33 0.0139922644
15 36 0.0139922644
15 39 0.0219562163
15 46 0.0139922644
15 58 0.0344529964
15 60 0.0285770122
15 66 0.0139922644
15 68 0.0344529964
15 73 0.0139922644
15 79 0.0139922644
15 80 0.0139922644
15 92 0.0139922644
15 102 0.0139922644
15 107 0.0139922644
15 145 0.0219562163
15 185 0.0219562163
15 229 0.0139922644
15 233 0.0139922644
15 245 0.0139922644
15 251 0.0139922644
15 331 0.0139922644
15 421 0.0139922644
15 447 0.0139922644
15 461 0.0285770122
17 1 0.0073902924
17 7 0.0073902924
17 12 0.0285542078
17 13 0.0181970345
17 16 0.0150935167
17 18 0.0073902924
17 22 0.0150935167
17 23 0.0115966119
17 26 0.0115966119
17 30 0.0115966119
17 32 0.0448063547
17 33 0.0073902924
17 45 0.0073902924
17 46 0.0115966119
17 48 0.0073902924
17 54 0.0073902924
17 58 0.0115966119
17 61 0.0073902924
17 66 0.0073902924
17 72 0.0115966119
17 73 0.0073902924
17 74 0.0150935167
17 75 0.0073902924
17 80 0.0073902924
17 81 0.0115966119
17 83 0.0073902924
17 89 0.0073902924
17 102 0.0115966119
17 111 0.0073902924
17 126 0.0073902924
17 132 0.0073902924
17 134 0.0210374030
17 147 0.0073902924
17 149 0.0210374030
17 152 0.0073902924
17 157 0.0073902924
17 193 0.0073902924
17 223 0.0236842664
17 230 0.0073902924
17 257 0.0073902924
17 259 0.0150935167
17 322 0.0073902924
17 323 0.0115966119
17 331 0.0073902924
17 336 0.0073902924
17 342 0.0073902924
17 345 0.0073902924
17 370 0.0261803441
17 389 0.0073902924
17 409 0.0073902924
17 473 0.0073902924
20 1 0.0399646497
20 3 0.0195680341
20 8 0.0195680341
20 11 0.0195680341
20 13 0.0195680341
20 15 0.0399646497
20 17 0.0195680341
20 23 0.0195680341
20 38 0.0557028862
20 40 0.0195680341
20 51 0.0195680341
20 66 0.0195680341
20 72 0.0399646497
20 74 0.0307055367
20 78 0.0481821516
20 89 0.0195680341
20 91 0.0195680341
20 97 0.0307055367
20 157 0.0307055367
20 190 0.0195680341
20 226 0.0195680341
20 229 0.0195680341
20 417 0.0307055367
20 461 0.0195680341
21 1 0.0420507415
21 2 0.0267981097
21 7 0.0267981097
21 11 0.0267981097
21 12 0.0267981097
21 32 0.0420507415
21 39 0.0547309487
21 40 0.0420507415
21 47 0.0267981097
21 66 0.1557985743
21 68 0.0267981097
21 72 0.0267981097
21 73 0.0420507415
21 80 0.0267981097
21 90 0.0267981097
21 209 0.0267981097
21 413 0.0267981097
39 1 0.0282175961
39 7 0.0282175961
39 15 0.0442781543
39 17 0.0282175961
39 21 0.0442781543
39 23 0.0282175961
39 32 0.0282175961
39 40 0.0282175961
39 47 0.0442781543
39 89 0.2165923461
39 91 0.0282175961
39 190 0.0282175961
39 294 0.0282175961
51 1 0.0793338810
51 8 0.0388445312
51 11 0.0247548551
51 15 0.0505579206
51 17 0.0247548551
51 20 0.0388445312
51 22 0.0388445312
51 23 0.0247548551
51 29 0.0388445312
51 47 0.0388445312
51 54 0.0247548551
51 72 0.0609536030
51 73 0.0247548551
51 78 0.0609536030
51 190 0.0247548551
51 218 0.0247548551
51 226 0.0247548551
51 245 0.0247548551
51 386 0.0247548551
51 389 0.0247548551
51 409 0.0247548551
51 461 0.0247548551
52 1 0.0354306525
52 5 0.0225792574
52 8 0.0723615676
52 11 0.0354306525
52 17 0.1073037498
52 27 0.0225792574
52 33 0.0225792574
52 35 0.0225792574
52 43 0.0225792574
52 51 0.0461146025
52 57 0.1255142042
52 66 0.0225792574
52 70 0.0225792574
52 72 0.0354306525
52 74 0.0225792574
52 79 0.0225792574
52 82 0.0225792574
52 83 0.0225792574
52 113 0.0225792574
52 122 0.0225792574
52 188 0.0225792574
52 190 0.0354306525
52 229 0.0354306525
52 233 0.0225792574
52 249 0.0225792574
52 291 0.0225792574
52 314 0.0354306525
52 335 0.0225792574
52 336 0.0225792574
52 347 0.0225792574
52 461 0.0225792574
66 1 0.0830247180
66 5 0.0214881446
66 11 0.0214881446
66 15 0.0529100184
66 21 0.1194488962
66 23 0.0337185131
66 24 0.0214881446
66 25 0.0214881446
66 26 0.0214881446
66 28 0.0214881446
66 32 0.0438861753
66 38 0.0214881446
66 40 0.0438861753
66 45 0.0214881446
66 47 0.0337185131
66 54 0.0337185131
66 57 0.0214881446
66 64 0.0214881446
66 72 0.0688647905
66 74 0.0214881446
66 80 0.0214881446
66 82 0.0214881446
66 89 0.0214881446
66 91 0.0214881446
66 99 0.0214881446
66 185 0.0337185131
66 190 0.0214881446
66 209 0.0214881446
66 226 0.0214881446
66 233 0.0214881446
66 330 0.0214881446
66 413 0.0529100184
66 449 0.0214881446
72 3 0.0123293315
72 8 0.0350970030
72 17 0.0350970030
72 21 0.0193467949
72 32 0.0193467949
72 35 0.0123293315
72 38 0.0193467949
72 41 0.0193467949
72 44 0.0123293315
72 53 0.0123293315
72 54 0.0123293315
72 66 0.0193467949
72 87 0.0123293315
72 91 0.0123293315
72 94 0.0123293315
72 111 0.0123293315
72 114 0.0123293315
72 128 0.0123293315
72 137 0.0193467949
72 138 0.0123293315
72 155 0.0123293315
72 165 0.0123293315
72 185 0.0303583752
72 190 0.0123293315
72 205 0.0123293315
72 219 0.0193467949
72 224 0.0251807317
72 233 0.0123293315
72 249 0.0123293315
72 257 0.0123293315
72 269 0.0123293315
72 370 0.0123293315
72 371 0.0123293315
72 389 0.0193467949
72 396 0.0123293315
72 435 0.0193467949
72 447 0.0123293315
72 448 0.0193467949
72 459 0.0193467949
72 460 0.0123293315
72 461 0.0123293315
80 1 0.0668163064
80 5 0.0271358525
80 7 0.0554207355
80 15 0.0961296134
80 17 0.0271358525
80 20 0.0271358525
80 21 0.0554207355
80 23 0.0425807167
80 25 0.0271358525
80 26 0.0425807167
80 30 0.0271358525
80 32 0.0271358525
80 38 0.0271358525
80 39 0.0425807167
80 40 0.0271358525
80 46 0.1364618579
80 51 0.0271358525
80 54 0.0271358525
80 66 0.0271358525
80 72 0.0425807167
80 77 0.0271358525
80 79 0.0271358525
80 190 0.0271358525
80 213 0.0271358525
80 266 0.0772456394
80 271 0.0271358525
80 272 0.0271358525
80 294 0.0271358525
80 335 0.0554207355
80 399 0.0554207355
80 421 0.0271358525
80 432 0.0271358525
80 452 0.0271358525
89 1 0.0127548968
89 4 0.0127548968
89 5 0.0127548968
89 11 0.0200145783
89 12 0.0675678542
89 17 0.0200145783
89 18 0.0127548968
89 20 0.0127548968
89 23 0.0200145783
89 38 0.0127548968
89 39 0.0260498822
89 46 0.0200145783
89 47 0.0127548968
89 64 0.0314062398
89 68 0.0127548968
89 72 0.0127548968
89 74 0.0260498822
89 162 0.0363084284
89 190 0.0127548968
89 238 0.0127548968
89 255 0.0127548968
89 294 0.0127548968
89 311 0.0200145783
89 330 0.0127548968
89 360 0.0127548968
89 383 0.0200145783
89 384 0.0127548968
89 459 0.0127548968
89 470 0.0200145783
89 471 0.0127548968
142 111 0.0534784022
142 134 0.0340807330
142 139 0.0340807330
142 149 0.0340807330
142 162 0.0340807330
142 215 0.0340807330
142 263 0.0340807330
142 303 0.0534784022
142 315 0.0340807330
142 327 0.0340807330
142 332 0.0340807330
142 341 0.0340807330
142 352 0.0340807330
142 358 0.0696045679
142 365 0.0340807330
142 374 0.0340807330
142 393 0.0534784022
142 442 0.0340807330
142 443 0.0534784022
142 446 0.0340807330
142 469 0.0340807330
190 97 0.0330791248
190 103 0.0210806750
190 113 0.0330791248
190 116 0.0210806750
190 125 0.0600088102
190 132 0.0210806750
190 143 0.0330791248
190 208 0.0330791248
190 209 0.0210806750
190 220 0.0519067106
190 242 0.0330791248
190 244 0.0210806750
190 246 0.0210806750
190 248 0.0330791248
190 250 0.0210806750
190 261 0.0210806750
190 269 0.0210806750
190 272 0.0210806750
190 276 0.0430539824
190 301 0.0210806750
190 318 0.0330791248
190 324 0.0330791248
190 343 0.0519067106
190 354 0.0210806750
190 360 0.0210806750
190 382 0.0210806750
190 383 0.0210806750
190 385 0.0210806750
190 386 0.0210806750
190 389 0.0330791248
190 399 0.0210806750
190 407 0.0210806750
190 417 0.0210806750
190 428 0.0210806750
190 437 0.0210806750
190 439 0.0210806750
190 441 0.0519067106
192 8 0.0273437506
192 22 0.0273437506
192 46 0.0174256340
192 83 0.0174256340
192 102 0.0355891325
192 103 0.0174256340
192 104 0.0174256340
192 137 0.0273437506
192 141 0.0174256340
192 143 0.0174256340
192 174 0.0273437506
192 175 0.0429069438
192 188 0.0429069438
192 190 0.0174256340
192 199 0.0174256340
192 201 0.0429069438
192 229 0.0174256340
192 237 0.0174256340
192 244 0.0174256340
192 257 0.0673282116
192 261 0.0174256340
192 269 0.0174256340
192 276 0.0174256340
192 277 0.0174256340
192 289 0.0273437506
192 290 0.0174256340
192 309 0.0273437506
192 310 0.0273437506
192 322 0.0355891325
192 335 0.0273437506
192 351 0.0174256340
192 371 0.0174256340
192 386 0.0174256340
192 389 0.0174256340
192 409 0.0174256340
192 417 0.0174256340
192 418 0.0174256340
192 420 0.0174256340
192 426 0.0429069438
192 440 0.0355891325
192 441 0.0273437506
192 446 0.0174256340
192 452 0.0174256340
426 101 0.0250305019
426 141 0.0616323250
426 143 0.0250305019
426 175 0.0250305019
426 192 0.0967114843
426 201 0.0616323250
426 225 0.0250305019
426 245 0.0392770674
426 257 0.0250305019
426 261 0.0511208861
426 269 0.0392770674
426 276 0.0250305019
426 313 0.0250305019
426 322 0.0616323250
426 334 0.0250305019
426 340 0.0250305019
426 350 0.0250305019
426 351 0.0250305019
426 382 0.0250305019
426 383 0.0250305019
426 385 0.0250305019
426 386 0.0250305019
426 399 0.0250305019
426 417 0.0250305019
426 440 0.0802172686
426 452 0.0250305019
426 464 0.0712524923
428 8 0.0153653868
428 54 0.0097920585
428 95 0.0199987484
428 101 0.0097920585
428 102 0.0097920585
428 112 0.0346886762
428 116 0.0097920585
428 119 0.0153653868
428 129 0.0097920585
428 130 0.0097920585
428 134 0.0153653868
428 141 0.0097920585
428 143 0.0241108763
428 144 0.0097920585
428 150 0.0097920585
428 171 0.0153653868
428 175 0.0241108763
428 188 0.0241108763
428 190 0.0153653868
428 192 0.0097920585
428 200 0.0097920585
428 203 0.0097920585
428 208 0.0153653868
428 233 0.0097920585
428 238 0.0097920585
428 241 0.0097920585
428 242 0.0097920585
428 244 0.0153653868
428 245 0.0153653868
428 251 0.0241108763
428 255 0.0153653868
428 261 0.0465349494
428 269 0.0313813999
428 271 0.0313813999
428 272 0.0097920585
428 276 0.0097920585
428 277 0.0199987484
428 295 0.0097920585
428 301 0.0199987484
428 302 0.0153653868
428 306 0.0640916022
428 309 0.0097920585
428 312 0.0097920585
428 322 0.0378340202
428 323 0.0097920585
428 324 0.0097920585
428 335 0.0199987484
428 336 0.0097920585
428 343 0.0199987484
428 350 0.0097920585
428 351 0.0153653868
428 354 0.0097920585
428 370 0.0097920585
428 383 0.0153653868
428 384 0.0278743342
428 386 0.0153653868
428 389 0.0153653868
428 399 0.0153653868
428 402 0.0097920585
428 417 0.0153653868
428 418 0.0097920585
428 427 0.0153653868
428 429 0.0097920585
428 435 0.0313813999
428 437 0.0199987484
428 452 0.0241108763
